,fold_id,model_name,set,accuracy,precision,recall,f1
0,0,best_logistic,train,0.9805825242718447,0.9811320754716981,0.9811320754716981,0.9811320754716981
1,0,best_logistic,test,0.8269230769230769,0.8,0.8333333333333334,0.816326530612245
2,1,best_logistic,train,0.9029126213592233,0.8888888888888888,0.9230769230769231,0.9056603773584906
3,1,best_logistic,test,0.9230769230769231,0.92,0.92,0.92
4,2,best_logistic,train,0.9230769230769231,0.9361702127659575,0.8979591836734694,0.9166666666666666
5,2,best_logistic,test,0.8823529411764706,0.9230769230769231,0.8571428571428571,0.888888888888889
6,3,best_logistic,train,0.9029126213592233,0.8823529411764706,0.9183673469387755,0.9
7,3,best_logistic,test,0.9230769230769231,0.875,1.0,0.9333333333333333
8,4,best_logistic,train,0.9611650485436893,0.9607843137254902,0.9607843137254902,0.9607843137254902
9,4,best_logistic,test,0.8846153846153846,0.9166666666666666,0.8461538461538461,0.8799999999999999
10,5,best_logistic,train,0.9423076923076923,0.9444444444444444,0.9444444444444444,0.9444444444444444
11,5,best_logistic,test,0.8823529411764706,0.9473684210526315,0.782608695652174,0.8571428571428571
12,6,best_logistic,train,0.9223300970873787,0.9387755102040817,0.9019607843137255,0.92
13,6,best_logistic,test,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.8846153846153846
14,7,best_logistic,train,0.9514563106796117,0.9464285714285714,0.9636363636363636,0.9549549549549549
15,7,best_logistic,test,0.8653846153846154,0.8571428571428571,0.8181818181818182,0.8372093023255814
16,8,best_logistic,train,0.9326923076923077,0.9183673469387755,0.9375,0.9278350515463918
17,8,best_logistic,test,0.9411764705882353,0.9333333333333333,0.9655172413793104,0.9491525423728815
18,9,best_logistic,train,0.9805825242718447,0.9811320754716981,0.9811320754716981,0.9811320754716981
19,9,best_logistic,test,0.7884615384615384,0.7407407407407407,0.8333333333333334,0.7843137254901961
20,10,best_logistic,train,0.9029126213592233,0.8775510204081632,0.9148936170212766,0.8958333333333333
21,10,best_logistic,test,1.0,1.0,1.0,1.0
22,11,best_logistic,train,0.9230769230769231,0.9107142857142857,0.9444444444444444,0.9272727272727271
23,11,best_logistic,test,0.9607843137254902,0.9565217391304348,0.9565217391304348,0.9565217391304348
24,12,best_logistic,train,0.9611650485436893,0.9607843137254902,0.9607843137254902,0.9607843137254902
25,12,best_logistic,test,0.8653846153846154,1.0,0.7307692307692307,0.8444444444444443
26,13,best_logistic,train,0.941747572815534,0.9411764705882353,0.9411764705882353,0.9411764705882353
27,13,best_logistic,test,0.9038461538461539,0.8387096774193549,1.0,0.9122807017543859
28,14,best_logistic,train,0.9326923076923077,0.9090909090909091,0.9615384615384616,0.9345794392523366
29,14,best_logistic,test,0.9411764705882353,0.9230769230769231,0.96,0.9411764705882353
30,15,best_logistic,train,0.9514563106796117,0.9482758620689655,0.9649122807017544,0.9565217391304347
31,15,best_logistic,test,0.9038461538461539,0.8571428571428571,0.9,0.8780487804878048
32,16,best_logistic,train,0.941747572815534,0.9565217391304348,0.9166666666666666,0.9361702127659574
33,16,best_logistic,test,0.8653846153846154,0.9230769230769231,0.8275862068965517,0.8727272727272727
34,17,best_logistic,train,0.9230769230769231,0.9183673469387755,0.9183673469387755,0.9183673469387755
35,17,best_logistic,test,0.9607843137254902,0.9642857142857143,0.9642857142857143,0.9642857142857143
36,18,best_logistic,train,0.9514563106796117,0.9464285714285714,0.9636363636363636,0.9549549549549549
37,18,best_logistic,test,0.9038461538461539,0.84,0.9545454545454546,0.8936170212765958
38,19,best_logistic,train,0.9611650485436893,0.94,0.9791666666666666,0.9591836734693877
39,19,best_logistic,test,0.9038461538461539,0.9615384615384616,0.8620689655172413,0.9090909090909091
40,20,best_logistic,train,0.9038461538461539,0.9019607843137255,0.9019607843137255,0.9019607843137255
41,20,best_logistic,test,0.9215686274509803,0.9230769230769231,0.9230769230769231,0.9230769230769231
42,21,best_logistic,train,0.912621359223301,0.9090909090909091,0.9259259259259259,0.9174311926605504
43,21,best_logistic,test,0.9038461538461539,0.875,0.9130434782608695,0.8936170212765957
44,22,best_logistic,train,0.9514563106796117,0.9411764705882353,0.96,0.9504950495049505
45,22,best_logistic,test,0.9038461538461539,0.9583333333333334,0.8518518518518519,0.9019607843137256
46,23,best_logistic,train,0.9423076923076923,0.94,0.94,0.94
47,23,best_logistic,test,0.9019607843137255,0.9230769230769231,0.8888888888888888,0.9056603773584906
48,24,best_logistic,train,0.912621359223301,0.9183673469387755,0.9,0.9090909090909091
49,24,best_logistic,test,0.9423076923076923,0.9615384615384616,0.9259259259259259,0.9433962264150944
50,25,best_logistic,train,0.941747572815534,0.9361702127659575,0.9361702127659575,0.9361702127659575
51,25,best_logistic,test,0.8846153846153846,0.9,0.9,0.9
52,26,best_logistic,train,0.9423076923076923,0.9322033898305084,0.9649122807017544,0.9482758620689654
53,26,best_logistic,test,0.9019607843137255,0.8260869565217391,0.95,0.8837209302325583
54,27,best_logistic,train,0.9320388349514563,0.9245283018867925,0.9423076923076923,0.9333333333333333
55,27,best_logistic,test,0.9423076923076923,0.9230769230769231,0.96,0.9411764705882353
56,28,best_logistic,train,0.9611650485436893,0.94,0.9791666666666666,0.9591836734693877
57,28,best_logistic,test,0.9038461538461539,1.0,0.8275862068965517,0.9056603773584906
58,29,best_logistic,train,0.9326923076923077,0.9272727272727272,0.9444444444444444,0.9357798165137615
59,29,best_logistic,test,0.9019607843137255,0.8214285714285714,1.0,0.9019607843137255
60,30,best_logistic,train,0.941747572815534,0.9411764705882353,0.9411764705882353,0.9411764705882353
61,30,best_logistic,test,0.9038461538461539,0.8888888888888888,0.9230769230769231,0.9056603773584906
62,31,best_logistic,train,0.9320388349514563,0.9166666666666666,0.9361702127659575,0.9263157894736843
63,31,best_logistic,test,0.9038461538461539,0.9032258064516129,0.9333333333333333,0.9180327868852459
